Função;EPSOM;EPSO;WPSO;LIPS;CLPSO;HPSOTVAC;FDRPSO
Sphere;Rank: 1 - Best: 0,0000E00 - Média: 0,0000E00 - Desvio Padrão: 0,0000E00;Rank: 2 - Best: 0,0000E00 - Média: 0,0000E00 - Desvio Padrão: 0,0000E00;Rank: 4 - Best: 0,0000E00 - Média: 1,3263E-14 - Desvio Padrão: 2,4453E-14;Rank: 7 - Best: 9,1463E03 - Média: 1,8475E04 - Desvio Padrão: 3,4946E03;Rank: 3 - Best: 0,0000E00 - Média: 0,0000E00 - Desvio Padrão: 0,0000E00;Rank: 5 - Best: 0,0000E00 - Média: 6,0633E-14 - Desvio Padrão: 3,3156E-14;Rank: 6 - Best: 3,4452E-02 - Média: 1,2016E-01 - Desvio Padrão: 3,8820E-02
Schwefel;Rank: 3 - Best: 0,0000E00 - Média: 3,9790E-14 - Desvio Padrão: 2,6494E-14;Rank: 2 - Best: 0,0000E00 - Média: 3,0316E-14 - Desvio Padrão: 2,8843E-14;Rank: 5 - Best: 4,8007E-08 - Média: 8,5645E-06 - Desvio Padrão: 1,4465E-05;Rank: 7 - Best: 9,6542E03 - Média: 1,8881E04 - Desvio Padrão: 4,5828E03;Rank: 1 - Best: 0,0000E00 - Média: 1,5158E-14 - Desvio Padrão: 2,5567E-14;Rank: 4 - Best: 5,1159E-13 - Média: 1,8341E-12 - Desvio Padrão: 1,7407E-12;Rank: 6 - Best: 5,5947E-02 - Média: 9,0138E-02 - Desvio Padrão: 2,3659E-02
Elliptic;Rank: 1 - Best: 2,0198E03 - Média: 1,5024E04 - Desvio Padrão: 7,6052E03;Rank: 4 - Best: 7,5815E03 - Média: 2,9278E04 - Desvio Padrão: 1,7934E04;Rank: 3 - Best: 4,9986E03 - Média: 2,8415E04 - Desvio Padrão: 2,3942E04;Rank: 7 - Best: 9,3132E07 - Média: 4,9412E08 - Desvio Padrão: 2,2937E08;Rank: 6 - Best: 1,8500E04 - Média: 4,3782E04 - Desvio Padrão: 1,2128E04;Rank: 2 - Best: 4,4488E03 - Média: 2,6066E04 - Desvio Padrão: 1,2392E04;Rank: 5 - Best: 1,4596E04 - Média: 3,5385E04 - Desvio Padrão: 1,3944E04
Schwefel_noise;Rank: 2 - Best: 0,0000E00 - Média: 5,8738E-14 - Desvio Padrão: 3,4956E-14;Rank: 1 - Best: 0,0000E00 - Média: 3,0316E-14 - Desvio Padrão: 3,2477E-14;Rank: 3 - Best: 5,2859E-06 - Média: 1,5728E-04 - Desvio Padrão: 1,8612E-04;Rank: 7 - Best: 1,0761E04 - Média: 1,9619E04 - Desvio Padrão: 4,3613E03;Rank: 5 - Best: 2,3032E03 - Média: 3,4797E03 - Desvio Padrão: 9,5043E02;Rank: 6 - Best: 8,7825E03 - Média: 1,3915E04 - Desvio Padrão: 2,6075E03;Rank: 4 - Best: 2,8112E-02 - Média: 1,0143E-01 - Desvio Padrão: 3,8922E-02
Schwefel_global;Rank: 1 - Best: 1,6007E-10 - Média: 1,0253E-09 - Desvio Padrão: 3,7323E-10;Rank: 3 - Best: 4,6566E-10 - Média: 2,1715E-09 - Desvio Padrão: 1,4757E-09;Rank: 4 - Best: 8,5856E-10 - Média: 2,4652E-09 - Desvio Padrão: 8,6274E-10;Rank: 7 - Best: 1,7112E04 - Média: 2,2421E04 - Desvio Padrão: 1,7580E03;Rank: 2 - Best: 1,0732E-10 - Média: 1,3389E-09 - Desvio Padrão: 3,3812E-09;Rank: 6 - Best: 3,5736E-03 - Média: 1,8759E02 - Desvio Padrão: 3,7652E02;Rank: 5 - Best: 4,1248E-01 - Média: 4,5395E00 - Desvio Padrão: 2,1080E00
Rosenbrock;Rank: 1 - Best: 3,6829E-04 - Média: 2,6706E-01 - Desvio Padrão: 1,0112E00;Rank: 2 - Best: 2,2899E-03 - Média: 3,0529E-01 - Desvio Padrão: 1,0113E00;Rank: 5 - Best: 3,8273E-01 - Média: 6,4178E00 - Desvio Padrão: 5,3767E00;Rank: 7 - Best: 1,6610E09 - Média: 6,1428E09 - Desvio Padrão: 2,1415E09;Rank: 4 - Best: 6,6799E-02 - Média: 4,2959E00 - Desvio Padrão: 3,2686E00;Rank: 3 - Best: 4,8310E-01 - Média: 2,9690E00 - Desvio Padrão: 2,2356E00;Rank: 6 - Best: 1,2220E01 - Média: 2,0633E01 - Desvio Padrão: 6,7969E00
Griewank;Rank: 1 - Best: 1,2670E03 - Média: 1,2670E03 - Desvio Padrão: 6,3832E-10;Rank: 2 - Best: 1,2670E03 - Média: 1,2670E03 - Desvio Padrão: 1,4119E-08;Rank: 5 - Best: 1,2670E03 - Média: 1,2673E03 - Desvio Padrão: 1,9466E-01;Rank: 6 - Best: 1,2672E03 - Média: 1,2675E03 - Desvio Padrão: 2,4303E-01;Rank: 4 - Best: 1,2672E03 - Média: 1,2672E03 - Desvio Padrão: 6,9811E-02;Rank: 7 - Best: 1,2670E03 - Média: 1,2693E03 - Desvio Padrão: 5,8184E00;Rank: 3 - Best: 1,2670E03 - Média: 1,2670E03 - Desvio Padrão: 1,2795E-03
Ackley;Rank: 4 - Best: 2,0123E01 - Média: 2,0300E01 - Desvio Padrão: 8,5264E-02;Rank: 5 - Best: 2,0162E01 - Média: 2,0302E01 - Desvio Padrão: 6,5548E-02;Rank: 2 - Best: 2,0110E01 - Média: 2,0248E01 - Desvio Padrão: 6,7811E-02;Rank: 6 - Best: 2,0201E01 - Média: 2,0323E01 - Desvio Padrão: 5,9610E-02;Rank: 3 - Best: 2,0121E01 - Média: 2,0278E01 - Desvio Padrão: 8,1644E-02;Rank: 1 - Best: 2,0028E01 - Média: 2,0143E01 - Desvio Padrão: 6,6446E-02;Rank: 7 - Best: 2,0149E01 - Média: 2,0325E01 - Desvio Padrão: 6,7310E-02
Rastrigin;Rank: 3 - Best: 2,5869E01 - Média: 3,9733E01 - Desvio Padrão: 8,3561E00;Rank: 6 - Best: 2,4874E01 - Média: 4,3612E01 - Desvio Padrão: 7,8303E00;Rank: 2 - Best: 1,3929E01 - Média: 3,9566E01 - Desvio Padrão: 9,0764E00;Rank: 7 - Best: 6,6787E01 - Média: 8,9686E01 - Desvio Padrão: 8,2068E00;Rank: 1 - Best: 1,8905E01 - Média: 3,2849E01 - Desvio Padrão: 7,3134E00;Rank: 5 - Best: 1,5919E01 - Média: 4,2883E01 - Desvio Padrão: 1,3730E01;Rank: 4 - Best: 2,6901E01 - Média: 4,2808E01 - Desvio Padrão: 7,0832E00
Rastrigin_rotated;Rank: 1 - Best: 5,5718E01 - Média: 7,1971E01 - Desvio Padrão: 1,0729E01;Rank: 6 - Best: 4,2783E01 - Média: 7,6192E01 - Desvio Padrão: 1,3217E01;Rank: 5 - Best: 4,3778E01 - Média: 7,5882E01 - Desvio Padrão: 1,8114E01;Rank: 7 - Best: 1,1189E02 - Média: 1,4027E02 - Desvio Padrão: 1,5528E01;Rank: 4 - Best: 4,2161E01 - Média: 7,5592E01 - Desvio Padrão: 1,8349E01;Rank: 2 - Best: 3,0844E01 - Média: 7,2797E01 - Desvio Padrão: 2,2032E01;Rank: 3 - Best: 4,5897E01 - Média: 7,4929E01 - Desvio Padrão: 1,4767E01
