Função;EPSOM;EPSO;WPSO;LIPS;CLPSO;HPSOTVAC;FDRPSO
Sphere;Rank: 1 - Average: 0.0000E00 - Std. Deviation: 0.0000E00;Rank: 2 - Average: 0.0000E00 - Std. Deviation: 0.0000E00;Rank: 4 - Average: 1.3263E-14 - Std. Deviation: 2.4453E-14;Rank: 7 - Average: 1.8475E04 - Std. Deviation: 3.4946E03;Rank: 3 - Average: 0.0000E00 - Std. Deviation: 0.0000E00;Rank: 5 - Average: 6.0633E-14 - Std. Deviation: 3.3156E-14;Rank: 6 - Average: 1.2016E-01 - Std. Deviation: 3.8820E-02
Schwefel;Rank: 3 - Average: 3.9790E-14 - Std. Deviation: 2.6494E-14;Rank: 2 - Average: 3.0316E-14 - Std. Deviation: 2.8843E-14;Rank: 5 - Average: 8.5645E-06 - Std. Deviation: 1.4465E-05;Rank: 7 - Average: 1.8881E04 - Std. Deviation: 4.5828E03;Rank: 1 - Average: 1.5158E-14 - Std. Deviation: 2.5567E-14;Rank: 4 - Average: 1.8341E-12 - Std. Deviation: 1.7407E-12;Rank: 6 - Average: 9.0138E-02 - Std. Deviation: 2.3659E-02
Elliptic;Rank: 1 - Average: 1.5024E04 - Std. Deviation: 7.6052E03;Rank: 4 - Average: 2.9278E04 - Std. Deviation: 1.7934E04;Rank: 3 - Average: 2.8415E04 - Std. Deviation: 2.3942E04;Rank: 7 - Average: 4.9412E08 - Std. Deviation: 2.2937E08;Rank: 6 - Average: 4.3782E04 - Std. Deviation: 1.2128E04;Rank: 2 - Average: 2.6066E04 - Std. Deviation: 1.2392E04;Rank: 5 - Average: 3.5385E04 - Std. Deviation: 1.3944E04
Schwefel_noise;Rank: 2 - Average: 5.8738E-14 - Std. Deviation: 3.4956E-14;Rank: 1 - Average: 3.0316E-14 - Std. Deviation: 3.2477E-14;Rank: 3 - Average: 1.5728E-04 - Std. Deviation: 1.8612E-04;Rank: 7 - Average: 1.9619E04 - Std. Deviation: 4.3613E03;Rank: 5 - Average: 3.4797E03 - Std. Deviation: 9.5043E02;Rank: 6 - Average: 1.3915E04 - Std. Deviation: 2.6075E03;Rank: 4 - Average: 1.0143E-01 - Std. Deviation: 3.8922E-02
Schwefel_global;Rank: 1 - Average: 1.0253E-09 - Std. Deviation: 3.7323E-10;Rank: 3 - Average: 2.1715E-09 - Std. Deviation: 1.4757E-09;Rank: 4 - Average: 2.4652E-09 - Std. Deviation: 8.6274E-10;Rank: 7 - Average: 2.2421E04 - Std. Deviation: 1.7580E03;Rank: 2 - Average: 1.3389E-09 - Std. Deviation: 3.3812E-09;Rank: 6 - Average: 1.8759E02 - Std. Deviation: 3.7652E02;Rank: 5 - Average: 4.5395E00 - Std. Deviation: 2.1080E00
Rosenbrock;Rank: 1 - Average: 2.6706E-01 - Std. Deviation: 1.0112E00;Rank: 2 - Average: 3.0529E-01 - Std. Deviation: 1.0113E00;Rank: 5 - Average: 6.4178E00 - Std. Deviation: 5.3767E00;Rank: 7 - Average: 6.1428E09 - Std. Deviation: 2.1415E09;Rank: 4 - Average: 4.2959E00 - Std. Deviation: 3.2686E00;Rank: 3 - Average: 2.9690E00 - Std. Deviation: 2.2356E00;Rank: 6 - Average: 2.0633E01 - Std. Deviation: 6.7969E00
Griewank;Rank: 1 - Average: 1.2670E03 - Std. Deviation: 6.3832E-10;Rank: 2 - Average: 1.2670E03 - Std. Deviation: 1.4119E-08;Rank: 5 - Average: 1.2673E03 - Std. Deviation: 1.9466E-01;Rank: 6 - Average: 1.2675E03 - Std. Deviation: 2.4303E-01;Rank: 4 - Average: 1.2672E03 - Std. Deviation: 6.9811E-02;Rank: 7 - Average: 1.2693E03 - Std. Deviation: 5.8184E00;Rank: 3 - Average: 1.2670E03 - Std. Deviation: 1.2795E-03
Ackley;Rank: 4 - Average: 2.0300E01 - Std. Deviation: 8.5264E-02;Rank: 5 - Average: 2.0302E01 - Std. Deviation: 6.5548E-02;Rank: 2 - Average: 2.0248E01 - Std. Deviation: 6.7811E-02;Rank: 6 - Average: 2.0323E01 - Std. Deviation: 5.9610E-02;Rank: 3 - Average: 2.0278E01 - Std. Deviation: 8.1644E-02;Rank: 1 - Average: 2.0143E01 - Std. Deviation: 6.6446E-02;Rank: 7 - Average: 2.0325E01 - Std. Deviation: 6.7310E-02
Rastrigin;Rank: 3 - Average: 3.9733E01 - Std. Deviation: 8.3561E00;Rank: 6 - Average: 4.3612E01 - Std. Deviation: 7.8303E00;Rank: 2 - Average: 3.9566E01 - Std. Deviation: 9.0764E00;Rank: 7 - Average: 8.9686E01 - Std. Deviation: 8.2068E00;Rank: 1 - Average: 3.2849E01 - Std. Deviation: 7.3134E00;Rank: 5 - Average: 4.2883E01 - Std. Deviation: 1.3730E01;Rank: 4 - Average: 4.2808E01 - Std. Deviation: 7.0832E00
Rastrigin_rotated;Rank: 1 - Average: 7.1971E01 - Std. Deviation: 1.0729E01;Rank: 6 - Average: 7.6192E01 - Std. Deviation: 1.3217E01;Rank: 5 - Average: 7.5882E01 - Std. Deviation: 1.8114E01;Rank: 7 - Average: 1.4027E02 - Std. Deviation: 1.5528E01;Rank: 4 - Average: 7.5592E01 - Std. Deviation: 1.8349E01;Rank: 2 - Average: 7.2797E01 - Std. Deviation: 2.2032E01;Rank: 3 - Average: 7.4929E01 - Std. Deviation: 1.4767E01
Weierstrass_rotated;Rank: 4 - Average: 9.2274E00 - Std. Deviation: 1.3467E00;Rank: 2 - Average: 8.8197E00 - Std. Deviation: 1.5432E00;Rank: 1 - Average: 7.3307E00 - Std. Deviation: 1.6905E00;Rank: 7 - Average: 1.4072E01 - Std. Deviation: 7.5115E-01;Rank: 5 - Average: 9.5401E00 - Std. Deviation: 1.2355E00;Rank: 6 - Average: 9.7156E00 - Std. Deviation: 1.1994E00;Rank: 3 - Average: 8.9744E00 - Std. Deviation: 1.7096E00
Schwefel_multimodal;Rank: 5 - Average: 1.6529E03 - Std. Deviation: 3.4101E03;Rank: 6 - Average: 1.7281E03 - Std. Deviation: 3.4844E03;Rank: 3 - Average: 1.2512E03 - Std. Deviation: 2.7247E03;Rank: 7 - Average: 2.6845E05 - Std. Deviation: 8.2016E04;Rank: 1 - Average: 1.4500E01 - Std. Deviation: 9.0507E00;Rank: 4 - Average: 1.3321E03 - Std. Deviation: 3.5578E03;Rank: 2 - Average: 1.8940E02 - Std. Deviation: 4.6823E02
Griewank_plus_Rosenbrock;Rank: 2 - Average: 7.6942E-01 - Std. Deviation: 4.3180E-01;Rank: 3 - Average: 8.2874E-01 - Std. Deviation: 5.6496E-01;Rank: 4 - Average: 8.4107E-01 - Std. Deviation: 4.3123E-01;Rank: 7 - Average: 3.4859E01 - Std. Deviation: 1.7051E01;Rank: 1 - Average: 4.1100E-01 - Std. Deviation: 2.6865E-01;Rank: 6 - Average: 1.6373E00 - Std. Deviation: 1.3084E00;Rank: 5 - Average: 1.4195E00 - Std. Deviation: 5.9456E-01
Scaffer;Rank: 3 - Average: 3.7588E00 - Std. Deviation: 3.7596E-01;Rank: 5 - Average: 3.9133E00 - Std. Deviation: 4.4022E-01;Rank: 2 - Average: 3.6922E00 - Std. Deviation: 4.4200E-01;Rank: 7 - Average: 4.5186E00 - Std. Deviation: 1.1010E-01;Rank: 4 - Average: 3.8264E00 - Std. Deviation: 2.0001E-01;Rank: 6 - Average: 4.0193E00 - Std. Deviation: 2.9113E-01;Rank: 1 - Average: 3.6222E00 - Std. Deviation: 3.2662E-01
Hybrid_composition_function;Rank: 2 - Average: 7.0753E02 - Std. Deviation: 1.5501E02;Rank: 3 - Average: 7.1303E02 - Std. Deviation: 1.3559E02;Rank: 4 - Average: 7.5550E02 - Std. Deviation: 1.4386E02;Rank: 7 - Average: 1.0883E03 - Std. Deviation: 1.2142E02;Rank: 1 - Average: 6.7030E02 - Std. Deviation: 1.2077E02;Rank: 5 - Average: 7.8514E02 - Std. Deviation: 1.9445E02;Rank: 6 - Average: 8.1620E02 - Std. Deviation: 1.1947E02
